Bedrooms,Bathrooms,LivingArea,Floors,Views,Condition,HouseArea,BasementArea,BuiltYear,PostalCode,SchoolsNearby,Price
3,2.5,1650,1,0,4,1130,520,1986,122012,2,379880
3,1,1010,1,0,4,1010,0,1973,122008,3,310000
3,2.5,2850,2,0,3,1990,860,1980,122044,1,783500
2,2.5,2680,1,0,3,2680,0,2004,122045,2,775000
4,2,2280,1,0,3,1140,1140,1900,122044,1,628000
3,2.5,2200,1,0,5,1570,630,1988,122046,2,365000
4,2.5,2530,2,2,3,2010,520,1990,122023,2,331950
7,8,13540,3,4,3,9410,4130,1999,122045,1,2280000
2,2.5,2220,2,0,3,2220,0,2000,122047,3,1430000
5,3.5,4010,2,1,5,2850,1160,1971,122004,1,1400000
4,2.5,4340,2.5,0,3,4340,0,1992,122045,1,1090000
5,2.75,3190,1,3,3,1690,1500,1976,122027,1,1030000
3,1,1330,1,0,3,1330,0,1928,122010,3,900000
4,4.25,4420,2,0,3,3410,1010,2006,122012,1,890000
5,3.5,4490,2,0,3,3200,1290,2006,122012,2,890000
4,3,3690,2,0,3,3690,0,1998,122020,3,865000
4,2.75,2600,1,0,4,1300,1300,1960,122032,2,855000
4,3,2170,2,0,4,1610,560,1982,122047,3,831000
4,2.5,3400,2,0,3,3400,0,2007,122005,3,830000
6,1.75,2920,2.5,0,4,2780,140,1908,122044,3,823000
5,2.5,3180,2,0,4,3180,0,1990,122010,1,800866
3,2.5,3240,2,0,3,3240,0,1994,122020,3,800000
3,1.75,1330,1,0,3,1330,0,1961,122048,3,787000
4,2.5,2730,2,2,3,2730,0,1996,122019,3,780000
3,2,2350,1.5,0,4,1810,540,1939,122047,1,770000
4,2.5,2120,1,0,4,1620,500,1960,122049,2,755000
4,1.75,2010,1.5,0,3,2010,0,1902,122003,2,740000
4,2.5,3180,2,3,3,3180,0,2000,122015,2,736500
4,2.5,2450,2,0,3,2450,0,2013,122005,1,712198
3,2.5,2490,2,0,3,2490,0,2003,122011,3,705380
3,2.5,1680,3,0,3,1680,0,1909,122004,3,670000
4,2.5,2800,1,0,3,1660,1140,1963,122006,2,665000
4,1,1390,1,0,3,1050,340,1924,122028,1,657100
3,1.5,2160,1,2,4,1400,760,1949,122050,2,650000
4,2.5,2440,2,0,3,2440,0,2014,122007,2,631625
4,2.25,1990,1,0,3,1210,780,1973,122012,3,627000
3,1.75,1480,2.5,0,3,1480,0,2005,122033,2,620000
3,2,1800,1,0,4,1080,720,1942,122006,1,618500
4,1.75,2300,1,0,4,1960,340,1977,122005,3,615000
3,1.75,1670,1,0,4,1670,0,1976,122020,1,600000
3,1.75,1880,1,0,4,1040,840,1945,122006,2,600000
2,1,1770,1.5,0,3,1520,250,1949,122007,3,585000
2,1,2540,1,0,5,1320,1220,1942,122051,3,580000
3,2.25,2010,1,0,3,1330,680,1975,122005,2,570000
3,2.5,1900,2,0,3,1900,0,1987,122019,2,560000
3,2.5,1940,2,0,3,1940,0,2009,122012,3,555000
2,1,1140,1,0,5,1140,0,1908,122047,1,549000
4,2.5,2910,2,0,3,2910,0,2008,122015,3,549000
5,2.75,2740,1,0,4,1370,1370,1960,122027,1,541125
2,3,1270,2,0,3,1110,160,2000,122028,1,531000
5,1.75,2550,1,0,5,1810,740,1960,122012,2,525888
3,1.75,1560,1,0,4,780,780,1944,122032,3,524000
3,2.5,1790,2,0,3,1790,0,2010,122012,1,509900
4,1,2070,1,0,3,1160,910,1963,122029,2,501000
4,2.5,2910,2,0,3,2910,0,2006,122008,1,499000
6,2.75,3200,1,2,4,1600,1600,1953,122052,2,497300
4,1.75,2010,1,0,3,1470,540,1977,122033,3,487585
4,3,2340,1,0,4,1340,1000,1979,122033,1,485000
3,2.5,3040,2,0,3,3040,0,2007,122053,2,478000
4,2,1480,1.5,0,5,1480,0,1928,122038,1,449250
5,2,1840,1,0,4,1540,300,1942,122038,3,435000
2,2.5,1590,2,0,3,1590,0,2014,122011,2,419190
3,2,1410,1.5,0,4,1410,0,1930,122028,2,418000
3,2.5,1408,3,0,3,1408,0,2005,122006,1,416286
3,2.25,1620,2.5,0,3,1540,80,2010,122012,3,415000
3,2.25,1800,1,0,4,1360,440,1978,122012,1,410000
3,2.25,1410,3,0,3,1410,0,2005,122028,2,406100
2,3,1410,2,0,3,1140,270,2006,122016,3,405000
2,1.75,2110,1,0,2,2110,0,1948,122014,2,400000
2,1,840,1,0,3,840,0,1955,122016,2,400000
3,2.5,2230,2,0,3,2230,0,1954,122054,3,398750
5,2.5,3090,1,0,3,1750,1340,1968,122018,2,384900
4,1.75,1970,1,0,5,1140,830,1960,122038,1,379950
3,3,1571,3,0,3,1571,0,2008,122022,1,366750
5,1,1120,1.5,0,4,1120,0,1962,122033,3,340000
2,1.5,1160,2,0,3,1160,0,2001,122054,1,340000
2,1,1140,1.5,0,4,1140,0,1949,122038,2,329950
4,2.5,2370,2,0,3,2370,0,1998,122023,3,328000
4,2.75,2310,2,0,3,2310,0,2006,122024,3,309950
3,2.5,1880,2,0,3,1880,0,1994,122042,3,309950
3,2,1050,1,0,3,1050,0,1986,122055,3,300000
3,1,1450,1,0,4,1450,0,1953,122051,2,287000
3,2,1550,1,0,4,1550,0,1958,122015,3,249950
3,1.75,1920,1,0,3,1000,920,1984,122039,3,245000
2,1,1200,1,0,4,1200,0,1958,122043,2,232000
4,1.5,1240,1,0,3,1240,0,1971,122018,1,220000
4,1.5,1120,1,0,3,1120,0,1969,122035,3,219900
3,1,1340,1,0,3,1340,0,1953,122055,1,210000
5,2,2050,1,0,3,1430,620,1956,122043,1,210000
2,1,810,1,0,5,810,0,1944,122056,2,206000
3,1.75,1490,1,0,4,1490,0,1962,122039,1,184000
5,4,4510,2,0,3,4510,0,1969,122057,1,1870000
5,5,4490,2,0,3,3930,560,2013,122048,1,1800000
4,3.25,3760,1.5,0,5,2400,1360,1950,122004,3,1580000
4,2.25,3490,2,0,4,2280,1210,1928,122032,1,1230000
4,2.75,3370,1,3,3,1970,1400,1970,122016,2,1140000
3,2.5,2200,2,0,3,1610,590,2008,122013,3,1050000
3,2.5,2690,3,0,3,2690,0,2014,122007,1,979000
3,3.5,3020,2,0,3,2080,940,1954,122032,1,910000
4,2,3740,2,0,3,3740,0,2000,122045,2,860000
4,2.5,3040,2,0,3,3040,0,2008,122005,2,776000
4,2.5,3880,2,0,3,3880,0,1987,122019,3,762300
4,2.5,2290,2,0,4,2290,0,1988,122027,1,736000
4,2.5,3200,2,0,3,3200,0,1998,122015,2,725126
4,2.5,3030,2,0,3,3030,0,1999,122019,3,685000
2,1,930,1,2,3,930,0,1951,122027,3,675000
4,3.5,3380,2,0,3,3380,0,2000,122050,2,655500
3,1.5,1630,1,1,3,1160,470,1940,122006,1,650000
5,3.5,3480,2,0,4,2490,990,1983,122020,3,650000
4,2,2060,1,0,3,1030,1030,1949,122007,1,612500
4,3,2450,1,0,5,1580,870,1967,122027,2,610000
4,2.5,2150,2,0,3,2150,0,1985,122005,2,609000
4,2.5,2110,2,0,3,2110,0,1987,122012,2,606000
4,2.25,2260,2,0,4,1400,860,1977,122027,3,599000
4,3.25,3569,2,0,3,3569,0,2013,122042,1,580000
3,1.75,2130,1,2,3,1170,960,1954,122032,3,575000
4,3,3100,2,0,3,2400,700,1996,122058,2,563000
5,2.25,3040,2,0,3,3040,0,1984,122005,3,562000
3,2,2000,2,0,3,2000,0,1916,122016,2,561000
3,2.5,1850,2,0,3,1850,0,1991,122033,3,535000
5,2.75,1800,1.5,0,3,1400,400,1926,122028,1,533000
5,2.5,2910,1,0,4,1690,1220,1964,122029,3,530000
3,2.5,2970,1,0,3,1770,1200,1995,122019,3,525000
3,2.5,2460,2,0,4,2460,0,1980,122015,1,520000
3,1.5,1430,1,0,4,1430,0,1956,122030,2,518000
3,2.5,1790,2,0,3,1790,0,1989,122019,3,515000
4,2.5,2000,2,0,3,2000,0,1996,122058,3,513000
3,2.5,1480,3,0,3,1480,0,2006,122047,1,500000
2,1.75,1170,1,0,4,740,430,1903,122028,1,499000
5,2,2020,1.5,0,4,2020,0,1938,122007,1,488000
3,2,1420,1.5,0,3,1420,0,1905,122028,2,485000
2,1.75,1660,1,0,3,1160,500,1942,122004,2,484000
4,2.5,2740,2,0,3,2740,0,1995,122037,2,483500
6,3,3470,1.5,0,3,3470,0,1924,122058,3,475000
2,1,1030,1,0,3,1030,0,1924,122007,2,469000
3,2.25,1970,1,0,4,1180,790,1967,122014,3,465000
2,2.25,1230,2,0,3,1020,210,2004,122044,2,460000
5,2.5,2240,1,0,3,1340,900,1978,122033,2,455000
2,2,1100,1.5,0,3,1100,0,1912,122007,3,450000
4,2,1520,1,0,5,1520,0,1967,122033,1,425000
4,2.25,2810,1,1,3,1710,1100,1958,122043,1,407000
4,1.75,1840,1,0,3,960,880,1958,122029,1,404000
4,2,1440,1,0,3,1200,240,1971,122033,3,397000
3,1.75,1260,1,0,4,1260,0,1966,122029,3,390000
5,3.75,2890,1,0,3,1310,1580,2006,122059,1,390000
3,1,1230,1,0,5,1230,0,1962,122053,2,387000
3,1.75,1900,1,0,3,1280,620,1982,122051,3,385000
4,1.75,1500,1,0,4,1000,500,1955,122058,2,379900
3,2,1270,3,0,3,1270,0,2006,122028,2,369950
3,1.5,1410,1,0,3,1410,0,1961,122050,2,367500
3,1.5,1310,1,0,3,1310,0,1950,122038,1,365000
3,2.25,1640,1,0,4,1140,500,1963,122060,2,362000
4,2,2680,1,0,5,2680,0,1965,122039,1,360000
3,1,1350,1,0,4,860,490,1947,122022,2,353000
4,2.5,2331,2,0,3,2331,0,2007,122046,2,345000
3,1,1110,1,0,3,1110,0,1956,122006,3,345000
2,1,720,1,0,3,720,0,1942,122007,2,329350
4,2.5,1890,1,0,3,980,910,1980,122034,1,325000
3,1,1510,1,0,4,860,650,1940,122006,2,313950
4,2,1300,1,0,3,1300,0,1950,122052,1,312000
3,2.25,1980,1,0,4,1560,420,1974,122018,3,295000
4,2.5,2000,2,0,3,2000,0,2003,122035,3,284000
3,1.75,1630,1,0,4,1630,0,1971,122025,2,280000
3,1.75,1580,1,1,4,1100,480,1962,122043,3,279900
3,2.5,1650,2,0,3,1650,0,1998,122041,1,272000
3,1,1050,1,0,3,1050,0,1954,122038,3,250000
3,1.75,1490,1,0,4,1010,480,1975,122035,1,234000
2,1,900,1,0,3,900,0,1952,122034,2,219000
3,1.75,1850,1,0,3,1320,530,1979,122018,2,218000
3,1.75,1690,1,0,4,1060,630,1976,122039,2,197000
3,1.5,800,1,0,4,800,0,1959,122018,2,191000
3,1,1010,1,0,3,1010,0,1954,122042,1,175000
3,1.5,1420,1,0,3,1420,0,1962,122018,1,136500
2,1,780,1,0,1,780,0,1942,122056,2,78000
7,4.5,6210,2.5,2,5,4760,1450,1910,122061,1,3200000
5,4.5,4270,2,0,3,3400,870,2007,122010,2,1530000
6,2.5,3560,2.5,0,4,3560,0,1914,122047,2,1500000
3,3,2960,2,2,3,2440,520,1937,122032,3,1340000
4,4,4460,2,0,3,4460,0,2001,122045,3,1150000
4,1.5,2310,1,0,3,1890,420,1950,122048,2,1110000
4,3.5,3900,2,0,3,3900,0,2006,122010,2,1040000
4,2.25,1890,1,1,3,1470,420,1963,122047,1,940000
5,3.75,4130,2,0,3,3170,960,1985,122037,3,900000
4,2,2210,1,1,4,1210,1000,1954,122032,1,794154
3,2,2540,1.5,3,4,1600,940,1905,122054,2,775000
4,2.75,2410,1,0,4,1780,630,1956,122010,2,758000
3,2.75,2520,1,0,4,1360,1160,1946,122003,2,750000
4,2.75,2600,2,0,5,1960,640,1949,122009,2,749950
4,2.5,2650,1.5,0,3,1520,1130,1905,122009,3,705000
3,2,1760,1,0,4,980,780,1942,122032,3,690000
3,1.75,1680,1,0,4,1680,0,1959,122049,2,675000
4,4,3680,2,0,3,3680,0,1990,122019,2,675000
3,2.5,3240,2,0,4,3240,0,1991,122035,2,651000
3,3,2270,2,0,3,2130,140,2002,122053,1,640000
3,2.5,2680,2,0,3,2680,0,1995,122062,1,630000
2,2.25,2550,1,0,3,1720,830,2011,122053,3,630000
3,2.5,2030,2,0,3,2030,0,1988,122012,1,618080
3,3,1680,3,0,3,1680,0,2014,122028,3,610950
3,2.5,2460,1,0,4,1860,600,1977,122012,1,600000
9,4.5,3830,2.5,0,3,2450,1380,1938,122028,1,599999
3,1.75,1960,1,0,4,1090,870,1920,122006,2,599000
4,2,2510,1,0,4,1280,1230,1961,122010,2,581000
4,2,1650,1,0,3,1650,0,1955,122007,3,575000
3,2,2350,1.5,0,3,1780,570,1929,122051,1,568000
3,3,4120,2,2,3,3180,940,1994,122041,3,560000
3,2,1860,1,0,3,1860,0,1985,122012,3,560000
7,5.75,3700,2,1,3,3700,0,1948,122014,1,540000
3,1.75,2720,1.5,0,3,2720,0,1988,122041,1,535000
3,2.5,2280,2,0,3,1880,400,2006,122012,3,535000
3,1,1340,1,0,3,1080,260,1910,122004,2,530000
2,2,1550,1.5,0,4,1550,0,1900,122028,3,526000
3,2.25,1170,3,0,3,1170,0,2014,122026,3,519950
3,1.75,1580,1,1,4,1210,370,1967,122029,3,515000
4,2.5,2430,2,0,3,2430,0,2003,122014,3,510000
3,2.75,1540,1,0,5,1210,330,1980,122033,3,503000
2,1,1010,1.5,0,4,1010,0,1906,122047,1,500000
3,2.5,1940,1,0,4,1940,0,1987,122012,1,500000
3,1,990,1,0,3,990,0,1943,122004,1,495000
4,2.75,2656,2,0,3,2656,0,2014,122039,1,495000
4,2.5,3305,1.5,0,5,2245,1060,1922,122038,1,492000
3,2,1610,1,0,4,1010,600,1917,122016,2,485000
4,2.5,2180,1,0,4,2180,0,1968,122021,1,480500
2,1,820,1,0,3,820,0,1921,122028,1,475000
3,2,1760,2,0,4,1760,0,1985,122005,2,460000
3,1.75,1500,1,0,4,1060,440,1947,122051,3,440000
2,2,1350,1,0,3,1350,0,2003,122045,1,428000
2,2.5,1150,3,0,3,1150,0,2008,122028,2,425000
2,1.5,1040,1.5,0,4,1040,0,1904,122054,2,420000
3,2.25,1770,2,0,3,1770,0,1977,122033,2,420000
3,2.25,1606,3,0,3,1606,0,2009,122022,2,417250
4,3,1830,2,0,3,1830,0,1991,122058,1,415000
4,2.75,2140,1,0,3,1320,820,1968,122058,3,409500
3,2.25,1660,1,0,4,1660,0,1961,122038,3,405000
5,1.75,3000,1,0,5,1500,1500,1958,122063,1,380000
2,1,1640,1,0,3,840,800,1978,122045,3,379500
3,2.5,1830,2,0,3,1830,0,1990,122024,1,375000
5,2.75,2410,1,0,3,1410,1000,2008,122051,3,365000
2,1,820,1,0,4,820,0,1944,122064,2,361280
5,2.5,2420,1,2,3,1620,800,1978,122051,2,352000
3,1,1010,1,0,3,1010,0,1981,122010,1,350000
3,2.25,1630,2,0,4,1630,0,1985,122046,2,339950
2,1,820,3,0,3,820,0,2006,122028,2,339950
3,2,1570,1,0,4,1570,0,1952,122014,3,335000
3,1,1040,1,0,4,1040,0,1968,122015,1,314950
3,1.75,1870,1,0,4,1870,0,1957,122040,2,314500
3,1.75,2190,1,0,4,2190,0,1967,122018,1,313000
3,1.75,1840,1,0,4,1220,620,1974,122046,2,310000
3,1.75,2070,1,0,4,1420,650,1973,122046,2,310000
3,2.5,1600,2,0,3,1600,0,2013,122053,2,305450
2,1,760,1,0,3,760,0,1913,122054,2,300000
3,2.5,1600,2,0,3,1600,0,2000,122039,2,280000
3,2.5,1600,2,0,4,1600,0,1993,122024,2,275000
5,1.5,1500,1,0,5,760,740,1920,122031,1,265000
5,2.25,2060,1,0,3,1030,1030,1962,122052,1,255000
3,1.75,1250,1,0,3,1250,0,1994,122062,1,253000
1,1,1100,1,0,2,820,280,1947,122031,3,250000
3,1,1110,1,0,3,1110,0,1952,122031,3,249000
4,1.75,1720,1,0,5,1720,0,1960,122035,3,248500
3,1,1400,1,0,3,1400,0,1944,122031,2,246000
3,1.5,1260,2,0,3,1040,220,2005,122038,3,245000
3,2,1410,1,0,3,1410,0,1985,122065,2,239900
3,2.5,1920,2,0,3,1920,0,1988,122042,1,230000
3,1.75,1640,1,0,3,1130,510,1988,122035,2,226500
3,1.5,1380,1,0,3,1380,0,1960,122040,1,209950
4,1,1490,1,0,3,1490,0,1969,122056,2,185000
2,1,1040,1,0,5,1040,0,1912,122066,1,160000
2,1,910,1,0,3,910,0,1956,122039,2,100000
6,3,3510,2.5,0,4,3510,0,1906,122047,3,1750000
3,1.75,2430,1,2,4,1340,1090,1952,122048,3,1500000
5,3.25,2800,1.5,0,5,1910,890,1932,122061,3,1310000
4,3.25,3820,2,1,4,3310,510,1990,122057,1,1250000
4,3,2920,1,3,5,1460,1460,1964,122029,2,1050000
4,1,3410,2,0,5,2190,1220,1910,122054,1,1040000
3,2.75,2015,2,4,3,2015,0,2007,122031,2,988500
5,2.5,3160,1,0,4,1780,1380,1971,122057,2,980000
3,3.25,2640,2,0,3,1840,800,1912,122004,1,930000
3,2.5,2920,3,0,3,2920,0,2008,122053,3,868500
4,2,1910,1.5,0,5,1910,0,1941,122028,1,835000
5,3,3040,1,0,5,1970,1070,1968,122057,2,830000
3,2.75,3010,2,0,3,3010,0,2011,122020,3,785000
4,1.75,2480,1,0,3,1390,1090,1950,122048,2,780000
4,2.5,2660,2,2,3,2660,0,2003,122011,2,753888
3,2.5,1690,1.5,1,4,1690,0,1928,122009,3,719000
4,2.5,3290,2,0,3,3290,0,2002,122020,3,716500
3,1,1250,1.5,0,4,1150,100,1900,122028,1,712000
3,1.75,1320,1.5,0,5,1320,0,1918,122009,2,660000
4,1.75,2060,1,0,4,1160,900,1947,122031,1,647500
2,1.75,1230,1.5,0,5,1230,0,1925,122003,2,636000
2,1,1540,1,0,4,820,720,1946,122003,3,615000
3,2.5,1750,2,0,4,1750,0,1991,122010,2,595000
2,3,3160,2,0,3,3160,0,1993,122037,2,589900
4,2.25,2250,2,0,3,2250,0,1980,122045,2,569000
2,2,1870,1,0,3,1870,0,2006,122045,2,559950
2,2.5,1360,2,0,3,1050,310,1997,122047,2,553650
3,2.25,1780,2,2,3,1780,0,1988,122025,3,545000
6,2.25,2820,1.5,2,5,1970,850,1940,122031,3,543200
4,1.75,1840,1,0,3,1220,620,1967,122005,1,538000
4,2.5,2550,2,0,3,2550,0,2005,122020,1,537500
4,2.5,2280,2,0,3,2280,0,2004,122037,3,535000
3,1,1670,1,0,3,1170,500,1967,122006,1,533000
3,1.75,1980,1,0,4,1980,0,1973,122029,2,530000
4,2.75,2280,1.5,0,4,1540,740,1930,122006,2,530000
3,2.25,2430,1,0,3,2430,0,1974,122015,3,524000
2,1,1060,1,0,3,1060,0,1926,122028,3,515000
3,1.75,1410,3,0,3,1410,0,2012,122028,3,500000
2,1.5,1110,2,0,3,930,180,2005,122003,2,499000
3,2.5,2310,2,0,3,2310,0,2011,122058,3,494000
5,2.25,2440,1.5,0,4,2440,0,1975,122035,2,489990
3,2,1510,1,0,3,1510,0,1954,122037,2,450000
2,1.5,1020,3,0,3,1020,0,2008,122028,2,441750
2,1,980,2,0,3,980,0,2010,122003,3,438000
3,1.75,1310,1,0,4,1310,0,1976,122005,3,437000
3,1.75,1460,1,0,3,1460,0,1979,122005,1,424500
3,2.5,1540,3,0,3,1470,70,2008,122028,1,413450
2,1,1020,1,0,4,1020,0,1948,122050,3,405000
3,2.75,2090,2,0,3,2090,0,2012,122055,1,403000
3,2.5,1960,1,0,4,1290,670,1977,122033,1,402000
3,1.75,1890,1,0,3,1230,660,1944,122022,1,385000
6,2.25,3206,2,0,3,3206,0,2012,122066,3,375000
2,1.5,960,2,0,3,960,0,1993,122044,2,358000
4,1.75,2250,1,0,4,2150,100,1940,122065,1,350000
3,1.75,1590,1,0,3,1590,0,1988,122015,2,349000
4,2.5,2460,2,0,3,2460,0,1989,122018,2,347500
3,1.5,2240,1.5,0,2,1480,760,1980,122023,2,335000
2,2,1550,1.5,0,2,1550,0,1972,122008,3,330000
4,2.5,2320,2,0,3,2320,0,2004,122035,2,325900
2,1.25,860,2,0,3,860,0,2007,122054,2,321950
3,1.75,1890,1,0,5,1890,0,1966,122035,2,307000
3,2,1240,1,0,3,1240,0,1967,122046,2,297950
2,1.75,2200,1,0,3,1100,1100,1973,122012,3,295000
3,2.5,1920,2,0,3,1920,0,1993,122040,1,295000
4,2.5,1810,2,0,3,1810,0,1994,122035,1,270000
3,2.5,1940,1,0,3,1460,480,1989,122065,2,266000
4,2.5,2020,2,0,3,2020,0,2002,122039,1,262000
4,1.5,2130,1,0,3,1100,1030,1962,122066,3,260000
4,1.75,1730,1,0,3,1230,500,1977,122018,2,258000
3,1.75,1390,1,0,4,1390,0,1975,122067,1,246000
3,1.5,1260,1,0,4,1260,0,1955,122060,3,245000
2,1,1270,1,0,4,650,620,1923,122051,1,235000
3,1.75,950,1,0,3,790,160,1939,122059,1,230000
3,1,1390,1,0,4,1390,0,1960,122039,3,230000
3,2.5,1190,2,0,3,1190,0,2002,122063,1,229000
4,1.75,2000,1,0,3,1100,900,1965,122063,2,228000
4,1,2100,1,0,3,1050,1050,1959,122056,1,211000
3,1,1490,1,0,4,1490,0,1954,122056,3,207000
2,1,720,1,0,3,720,0,1955,122034,1,205000
2,1.5,980,2,0,3,980,0,1922,122041,1,134000
2,1,520,1,0,2,520,0,1951,122056,2,82500
3,2.25,3000,1.5,4,3,3000,0,2001,122020,2,2400000
5,6.5,7270,2,0,3,6420,850,2010,122012,1,2240000
5,4.5,5190,2,2,3,3390,1800,1987,122057,1,1700000
4,2.75,3720,1,4,5,1960,1760,1962,122027,3,1370000
4,4.25,5860,2,0,4,4910,950,1996,122021,2,1160000
4,2.25,4230,2,0,3,4230,0,1989,122037,3,985000
4,3,3750,2,0,3,3750,0,1976,122019,2,920000
3,2.5,3560,2,0,3,3560,0,1987,122045,1,851000
4,3.5,3810,1,1,3,2560,1250,2013,122053,1,839900
4,2.75,3780,2,0,3,3780,0,1999,122020,2,833000
4,3.25,3540,2,0,3,3540,0,2007,122041,2,800000
4,2.5,2830,2,0,3,1980,850,1979,122048,2,782000
4,3.5,2730,2,0,3,2400,330,2006,122009,2,769900
4,2.75,2790,2,0,3,2790,0,1996,122012,2,765000
3,2.25,2950,1.5,0,3,2950,0,2006,122020,1,759000
4,2.75,3100,2,0,3,2000,1100,1919,122044,3,742500
2,2.5,2200,1,3,3,2200,0,2007,122068,1,705000
3,3,2480,1,0,4,1620,860,1976,122037,2,610000
4,2.5,2260,2,0,3,2260,0,1989,122011,2,604000
4,2.25,2430,1,0,3,2430,0,1993,122037,3,590000
4,3.25,2400,2,0,4,2400,0,1982,122021,2,585000
4,2.5,2660,2,0,3,2660,0,2001,122045,3,583000
4,2.5,2840,2,0,3,2840,0,1998,122058,1,580000
3,2.25,1660,1,0,4,1370,290,1980,122005,2,566000
4,2.25,2470,2,0,3,2470,0,1984,122014,2,565000
4,2.5,2840,2,0,3,2840,0,2012,122058,2,557000
4,2.5,2330,2,0,4,2330,0,1978,122030,3,542500
4,1.75,2000,1.5,0,5,1450,550,1926,122064,3,536500
3,1.75,1300,1.5,0,3,1300,0,1925,122006,1,536000
5,3,3480,1,0,4,2340,1140,1976,122012,3,532000
3,2.5,2030,2,0,4,2030,0,1991,122011,1,525000
3,2,1400,1,0,4,1400,0,1963,122029,1,511555
3,2.5,2100,2,2,3,2100,0,1999,122008,1,505000
3,1.75,1750,1,1,4,1300,450,1987,122019,3,491300
